"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",3364.41505900214,6611.11285938317,4.13280591143328,3.58361328854754e-05,71.4972119650386,158317.903287969
"fixed","cond","biocultureMojocoya",0.0209542388584276,0.0161792973030361,-5.00620103893372,5.55147759836347e-07,0.00461357590358393,0.0951713237870327
"fixed","cond","knows_bin",0.25255502496706,0.119821922605114,-2.90053407931447,0.00372527327358396,0.0996581702200799,0.640028213394395
"fixed","cond","age_z",0.563812668956078,0.15258697244724,-2.11737207684051,0.0342282821056061,0.331719199781023,0.958294623540696
"fixed","cond","sexMale",2.62408060534035,1.19773716609922,2.11359461817758,0.0345499059147255,1.0726404003354,6.41948505871143
"fixed","cond","educationPrimary",0.386462508376019,0.230796028221804,-1.59195892821399,0.111393933367937,0.119885993078861,1.24579416280966
"fixed","cond","educationProfessional",0.122992891847644,0.442565240262401,-0.582394215507613,0.56030117694595,0.000106414809208521,142.153630284711
"fixed","cond","educationSecondary",0.141414251386104,0.124544092417678,-2.22102069766569,0.0263495595516089,0.0251672985835032,0.794602186990413
"fixed","cond","has_garden_bin",0.650732147432975,1.1295404284952,-0.247526981236217,0.804500413020459,0.021671411065839,19.5396749393133
"fixed","cond","has_interest_nus_z",0.575676799682251,0.134763008015122,-2.35891028075554,0.0183286864745063,0.363845308628962,0.910837022857849
"fixed","cond","cultural_revaluation_z",0.885571185798605,0.298760796265962,-0.360210468531931,0.718689746695379,0.457149025498988,1.71549381355617
"fixed","cond","institutional_promotion_z",3.31980491437112,1.60505627139768,2.48181573102861,0.0130714851620859,1.28698774890653,8.5634884083757
"fixed","cond","indice_barreras_z",0.81538253691742,0.147085639608728,-1.13143518521377,0.257871969221071,0.572551331768021,1.1612036242355
"fixed","cond","indice_facilitadores_z",11169.0042330439,14186.2038546644,7.33847810151131,2.16036248026051e-13,926.550213026314,134635.61262406
